provincia,fecha,NO2,O3,PM_particle,CO,velmedia,prec,label_ica,split
Avila,2013-05-07,8.0,90.0,25.0,0.2,2.5,0.0,0,train
Avila,2013-05-08,10.0,83.0,17.0,0.2,2.5,0.0,0,train
Avila,2013-05-09,9.0,100.0,28.0,0.2,2.8,2.0,0,train
Avila,2013-05-10,11.0,40.0,14.0,0.2,3.1,0.0,0,train
Avila,2013-05-11,2.0,46.0,12.0,0.2,3.1,0.0,0,train
Avila,2013-05-12,25.0,27.0,26.0,0.2,2.8,0.0,0,train
Avila,2013-05-13,8.0,79.0,19.0,0.2,1.9,1.8,0,train
Avila,2013-05-14,6.0,91.0,21.0,0.2,3.6,1.6,0,train
Avila,2013-05-15,4.0,81.0,15.0,0.2,4.7,3.8,0,train
Avila,2013-05-16,2.0,82.0,14.0,0.2,4.4,2.6,0,train
Avila,2013-05-17,3.0,81.0,11.0,0.2,3.1,1.4,0,train
Avila,2013-05-18,1.0,85.0,12.0,0.2,5.3,0.4,0,train
Avila,2013-05-19,3.0,90.0,12.0,0.2,2.2,14.6,0,train
Avila,2013-05-20,6.0,76.0,11.0,0.2,2.2,3.2,0,train
Avila,2013-05-21,7.0,69.0,14.0,0.2,3.1,0.0,0,train
Avila,2013-05-22,5.0,79.0,16.0,0.2,3.9,0.0,0,train
Avila,2013-05-23,3.0,79.0,16.0,0.2,3.6,0.0,0,train
Avila,2013-05-24,6.0,76.0,16.0,0.2,3.9,0.0,0,train
Avila,2013-05-25,6.0,74.0,14.0,0.2,2.8,0.0,2,train
Avila,2013-05-26,4.0,80.0,16.0,0.2,3.6,0.0,0,train
Avila,2013-05-27,3.0,80.0,20.0,0.2,3.9,0.2,0,train
Avila,2013-05-28,2.0,82.0,13.0,0.2,4.7,1.0,0,train
Avila,2013-05-29,1.0,77.0,13.0,0.2,6.4,1.8,1,train
Avila,2013-05-30,2.0,88.0,16.0,0.2,4.2,0.0,0,train
Avila,2013-05-31,1.0,112.0,15.0,0.2,5.0,0.0,0,train
Avila,2013-06-01,19.0,30.0,22.0,0.2,4.2,0.0,1,train
Avila,2013-06-02,2.0,84.0,14.0,0.2,3.3,0.0,2,train
Avila,2013-06-03,6.0,83.0,17.0,0.2,1.9,0.0,1,train
Avila,2013-06-04,5.0,97.0,15.0,0.2,2.5,0.0,1,train
Avila,2013-06-05,9.0,75.0,16.0,0.2,1.9,3.4,2,train
Avila,2013-06-06,5.0,115.0,23.0,0.2,3.1,0.0,0,train
Avila,2013-06-07,3.0,106.0,31.0,0.2,2.8,1.0,1,train
Avila,2013-06-08,10.0,74.0,19.0,0.2,3.3,0.0,1,train
Avila,2013-06-09,19.0,79.0,25.0,0.2,4.7,0.0,0,train
Avila,2013-06-10,11.0,41.0,13.0,0.2,3.1,0.0,0,train
Avila,2013-06-11,10.0,24.0,14.0,0.2,2.8,0.0,0,train
Avila,2013-06-12,17.0,28.0,21.0,0.2,2.5,0.0,0,train
Avila,2013-06-13,7.0,60.0,16.0,0.2,2.5,0.0,0,train
Avila,2013-06-14,8.0,75.0,18.0,0.2,2.8,0.0,0,train
Avila,2013-06-15,8.0,91.0,21.0,0.2,2.5,0.0,0,train
Avila,2013-06-16,7.0,89.0,19.0,0.2,3.3,0.0,0,train
Avila,2013-06-17,3.0,79.0,17.0,0.2,3.9,0.0,0,train
Avila,2013-06-18,3.0,70.0,13.0,0.2,3.9,10.6,0,train
Avila,2013-06-19,3.0,74.0,13.0,0.2,2.2,0.0,0,train
Avila,2013-06-20,4.0,80.0,14.0,0.2,3.1,0.0,0,train
Avila,2013-06-21,4.0,65.0,16.0,0.2,3.6,0.0,0,train
Avila,2013-06-22,6.0,75.0,15.0,0.2,2.8,0.0,0,train
Avila,2013-06-23,5.0,74.0,17.0,0.2,4.2,0.0,0,train
Avila,2013-06-24,6.0,87.0,17.0,0.2,2.5,0.0,2,train
Avila,2013-06-25,6.0,84.0,21.0,0.2,2.8,0.0,0,train
Avila,2013-06-26,6.0,80.0,20.0,0.2,2.8,0.0,0,train
Avila,2013-06-27,4.0,99.0,29.0,0.2,3.6,0.0,0,train
Avila,2013-06-28,7.0,96.0,26.0,0.2,2.8,0.0,0,train
Avila,2013-06-29,5.0,75.0,21.0,0.2,2.5,0.0,0,train
Avila,2013-06-30,7.0,82.0,19.0,0.2,2.2,0.0,0,train
Avila,2013-07-01,24.0,27.0,18.0,0.2,2.8,3.2,0,train
Avila,2013-07-02,4.0,77.0,18.0,0.2,2.8,0.0,1,train
Avila,2013-07-03,4.0,82.0,13.0,0.2,3.6,0.0,2,train
Avila,2013-07-04,7.0,82.0,14.0,0.2,2.5,0.0,0,train
Avila,2013-07-05,6.0,65.0,13.0,0.2,2.5,0.0,2,train
Avila,2013-07-06,4.0,96.0,19.0,0.2,3.3,0.0,0,train
Avila,2013-07-07,6.0,110.0,25.0,0.2,3.3,0.0,0,train
Avila,2013-07-08,3.0,88.0,17.0,0.2,3.3,0.0,0,train
Avila,2013-07-09,11.0,80.0,18.0,0.2,4.2,0.0,0,train
Avila,2013-07-10,16.0,39.0,16.0,0.2,3.9,0.0,1,train
Avila,2013-07-11,6.0,35.0,18.0,0.2,3.9,0.0,1,train
Avila,2013-07-12,31.0,28.0,24.0,0.2,2.8,0.0,1,train
Avila,2013-07-13,5.0,114.0,29.0,0.2,2.8,0.0,0,train
